Date,Day of the week,Week of the year,Biweekly,Month,Quarter,Half,Year
2019-01-17,3,3,2,1,1,1,2019
2019-01-18,4,3,2,1,1,1,2019
2019-01-29,1,5,3,1,1,1,2019
2019-01-28,0,5,3,1,1,1,2019
2019-01-20,6,3,2,1,1,1,2019
2019-01-11,4,2,1,1,1,1,2019
2019-01-03,3,1,1,1,1,1,2019
2019-01-26,5,4,2,1,1,1,2019
2019-01-21,0,4,2,1,1,1,2019
2019-01-09,2,2,1,1,1,1,2019
2019-01-15,1,3,2,1,1,1,2019
2019-01-01,1,1,1,1,1,1,2019
2019-01-22,1,4,2,1,1,1,2019
2019-01-19,5,3,2,1,1,1,2019
2019-01-10,3,2,1,1,1,1,2019
2019-01-23,2,4,2,1,1,1,2019
2019-01-25,4,4,2,1,1,1,2019
2019-01-14,0,3,2,1,1,1,2019
2019-01-31,3,5,3,1,1,1,2019
2019-01-13,6,2,1,1,1,1,2019
2019-01-07,0,2,1,1,1,1,2019
2019-01-02,2,1,1,1,1,1,2019
2019-01-06,6,1,1,1,1,1,2019
2019-01-04,4,1,1,1,1,1,2019
2019-01-27,6,4,2,1,1,1,2019
2019-01-16,2,3,2,1,1,1,2019
2019-01-08,1,2,1,1,1,1,2019
2019-01-24,3,4,2,1,1,1,2019
2019-01-12,5,2,1,1,1,1,2019
2019-01-30,2,5,3,1,1,1,2019
2019-01-05,5,1,1,1,1,1,2019
2019-02-12,1,7,4,2,1,1,2019
2019-02-28,3,9,5,2,1,1,2019
2019-02-05,1,6,3,2,1,1,2019
2019-02-03,6,5,3,2,1,1,2019
2019-02-10,6,6,3,2,1,1,2019
2019-02-13,2,7,4,2,1,1,2019
2019-02-25,0,9,5,2,1,1,2019
2019-02-21,3,8,4,2,1,1,2019
2019-02-22,4,8,4,2,1,1,2019
2019-02-08,4,6,3,2,1,1,2019
2019-02-27,2,9,5,2,1,1,2019
2019-02-24,6,8,4,2,1,1,2019
2019-02-20,2,8,4,2,1,1,2019
2019-02-15,4,7,4,2,1,1,2019
2019-02-09,5,6,3,2,1,1,2019
2019-02-26,1,9,5,2,1,1,2019
2019-02-07,3,6,3,2,1,1,2019
2019-02-06,2,6,3,2,1,1,2019
2019-02-02,5,5,3,2,1,1,2019
2019-02-17,6,7,4,2,1,1,2019
2019-02-19,1,8,4,2,1,1,2019
2019-02-04,0,6,3,2,1,1,2019
2019-02-01,4,5,3,2,1,1,2019
2019-02-18,0,8,4,2,1,1,2019
2019-02-14,3,7,4,2,1,1,2019
2019-02-16,5,7,4,2,1,1,2019
2019-02-11,0,7,4,2,1,1,2019
2019-02-23,5,8,4,2,1,1,2019
2019-03-24,6,12,6,3,1,1,2019
2019-03-27,2,13,7,3,1,1,2019
2019-03-02,5,9,5,3,1,1,2019
2019-03-05,1,10,5,3,1,1,2019
2019-03-08,4,10,5,3,1,1,2019
2019-03-21,3,12,6,3,1,1,2019
2019-03-13,2,11,6,3,1,1,2019
2019-03-25,0,13,7,3,1,1,2019
2019-03-19,1,12,6,3,1,1,2019
2019-03-29,4,13,7,3,1,1,2019
2019-03-10,6,10,5,3,1,1,2019
2019-03-12,1,11,6,3,1,1,2019
2019-03-23,5,12,6,3,1,1,2019
2019-03-01,4,9,5,3,1,1,2019
2019-03-04,0,10,5,3,1,1,2019
2019-03-16,5,11,6,3,1,1,2019
2019-03-30,5,13,7,3,1,1,2019
2019-03-09,5,10,5,3,1,1,2019
2019-03-11,0,11,6,3,1,1,2019
2019-03-14,3,11,6,3,1,1,2019
2019-03-18,0,12,6,3,1,1,2019
2019-03-03,6,9,5,3,1,1,2019
2019-03-07,3,10,5,3,1,1,2019
2019-03-17,6,11,6,3,1,1,2019
2019-03-28,3,13,7,3,1,1,2019
2019-03-26,1,13,7,3,1,1,2019
2019-03-15,4,11,6,3,1,1,2019
2019-03-31,6,13,7,3,1,1,2019
2019-03-06,2,10,5,3,1,1,2019
2019-03-20,2,12,6,3,1,1,2019
2019-03-22,4,12,6,3,1,1,2019
2019-04-01,0,14,7,4,2,1,2019
2019-04-19,4,16,8,4,2,1,2019
2019-04-22,0,17,9,4,2,1,2019
2019-04-24,2,17,9,4,2,1,2019
2019-04-23,1,17,9,4,2,1,2019
2019-04-05,4,14,7,4,2,1,2019
2019-04-03,2,14,7,4,2,1,2019
2019-04-17,2,16,8,4,2,1,2019
2019-04-07,6,14,7,4,2,1,2019
2019-04-18,3,16,8,4,2,1,2019
2019-04-16,1,16,8,4,2,1,2019
2019-04-04,3,14,7,4,2,1,2019
2019-04-11,3,15,8,4,2,1,2019
2019-04-02,1,14,7,4,2,1,2019
2019-04-27,5,17,9,4,2,1,2019
2019-04-15,0,16,8,4,2,1,2019
2019-04-08,0,15,8,4,2,1,2019
2019-04-30,1,18,9,4,2,1,2019
2019-04-28,6,17,9,4,2,1,2019
2019-04-13,5,15,8,4,2,1,2019
2019-04-25,3,17,9,4,2,1,2019
2019-04-20,5,16,8,4,2,1,2019
2019-04-10,2,15,8,4,2,1,2019
2019-04-06,5,14,7,4,2,1,2019
2019-04-14,6,15,8,4,2,1,2019
2019-04-09,1,15,8,4,2,1,2019
2019-04-26,4,17,9,4,2,1,2019
2019-04-21,6,16,8,4,2,1,2019
2019-04-12,4,15,8,4,2,1,2019
2019-04-29,0,18,9,4,2,1,2019
2019-05-02,3,18,9,5,2,1,2019
2019-05-19,6,20,10,5,2,1,2019
2019-05-10,4,19,10,5,2,1,2019
2019-05-04,5,18,9,5,2,1,2019
2019-05-20,0,21,11,5,2,1,2019
2019-05-05,6,18,9,5,2,1,2019
2019-05-29,2,22,11,5,2,1,2019
2019-05-07,1,19,10,5,2,1,2019
2019-05-08,2,19,10,5,2,1,2019
2019-05-09,3,19,10,5,2,1,2019
2019-05-24,4,21,11,5,2,1,2019
2019-05-25,5,21,11,5,2,1,2019
2019-05-23,3,21,11,5,2,1,2019
2019-05-06,0,19,10,5,2,1,2019
2019-05-30,3,22,11,5,2,1,2019
2019-05-27,0,22,11,5,2,1,2019
2019-05-12,6,19,10,5,2,1,2019
2019-05-28,1,22,11,5,2,1,2019
2019-05-16,3,20,10,5,2,1,2019
2019-05-26,6,21,11,5,2,1,2019
2019-05-17,4,20,10,5,2,1,2019
2019-05-18,5,20,10,5,2,1,2019
2019-05-21,1,21,11,5,2,1,2019
2019-05-13,0,20,10,5,2,1,2019
2019-05-31,4,22,11,5,2,1,2019
2019-05-22,2,21,11,5,2,1,2019
2019-05-14,1,20,10,5,2,1,2019
2019-05-15,2,20,10,5,2,1,2019
2019-05-11,5,19,10,5,2,1,2019
2019-05-01,2,18,9,5,2,1,2019
2019-05-03,4,18,9,5,2,1,2019
2019-06-08,5,23,12,6,2,1,2019
2019-06-01,5,22,11,6,2,1,2019
2019-06-11,1,24,12,6,2,1,2019
2019-06-15,5,24,12,6,2,1,2019
2019-06-21,4,25,13,6,2,1,2019
2019-06-20,3,25,13,6,2,1,2019
2019-06-04,1,23,12,6,2,1,2019
2019-06-05,2,23,12,6,2,1,2019
2019-06-02,6,22,11,6,2,1,2019
2019-06-24,0,26,13,6,2,1,2019
2019-06-30,6,26,13,6,2,1,2019
2019-06-10,0,24,12,6,2,1,2019
2019-06-16,6,24,12,6,2,1,2019
2019-06-07,4,23,12,6,2,1,2019
2019-06-25,1,26,13,6,2,1,2019
2019-06-14,4,24,12,6,2,1,2019
2019-06-19,2,25,13,6,2,1,2019
2019-06-06,3,23,12,6,2,1,2019
2019-06-29,5,26,13,6,2,1,2019
2019-06-28,4,26,13,6,2,1,2019
2019-06-26,2,26,13,6,2,1,2019
2019-06-18,1,25,13,6,2,1,2019
2019-06-12,2,24,12,6,2,1,2019
2019-06-09,6,23,12,6,2,1,2019
2019-06-17,0,25,13,6,2,1,2019
2019-06-22,5,25,13,6,2,1,2019
2019-06-27,3,26,13,6,2,1,2019
2019-06-03,0,23,12,6,2,1,2019
2019-06-23,6,25,13,6,2,1,2019
2019-06-13,3,24,12,6,2,1,2019
2019-07-23,1,30,15,7,3,2,2019
2019-07-18,3,29,15,7,3,2,2019
2019-07-24,2,30,15,7,3,2,2019
2019-07-20,5,29,15,7,3,2,2019
2019-07-01,0,27,14,7,3,2,2019
2019-07-26,4,30,15,7,3,2,2019
2019-07-14,6,28,14,7,3,2,2019
2019-07-13,5,28,14,7,3,2,2019
2019-07-31,2,31,16,7,3,2,2019
2019-07-16,1,29,15,7,3,2,2019
2019-07-15,0,29,15,7,3,2,2019
2019-07-09,1,28,14,7,3,2,2019
2019-07-21,6,29,15,7,3,2,2019
2019-07-08,0,28,14,7,3,2,2019
2019-07-17,2,29,15,7,3,2,2019
2019-07-03,2,27,14,7,3,2,2019
2019-07-05,4,27,14,7,3,2,2019
2019-07-12,4,28,14,7,3,2,2019
2019-07-02,1,27,14,7,3,2,2019
2019-07-04,3,27,14,7,3,2,2019
2019-07-22,0,30,15,7,3,2,2019
2019-07-28,6,30,15,7,3,2,2019
2019-07-27,5,30,15,7,3,2,2019
2019-07-11,3,28,14,7,3,2,2019
2019-07-29,0,31,16,7,3,2,2019
2019-07-30,1,31,16,7,3,2,2019
2019-07-07,6,27,14,7,3,2,2019
2019-07-10,2,28,14,7,3,2,2019
2019-07-06,5,27,14,7,3,2,2019
2019-07-25,3,30,15,7,3,2,2019
2019-07-19,4,29,15,7,3,2,2019
2019-08-19,0,34,17,8,3,2,2019
2019-08-15,3,33,17,8,3,2,2019
2019-08-09,4,32,16,8,3,2,2019
2019-08-07,2,32,16,8,3,2,2019
2019-08-12,0,33,17,8,3,2,2019
2019-08-22,3,34,17,8,3,2,2019
2019-08-29,3,35,18,8,3,2,2019
2019-08-26,0,35,18,8,3,2,2019
2019-08-18,6,33,17,8,3,2,2019
2019-08-14,2,33,17,8,3,2,2019
2019-08-01,3,31,16,8,3,2,2019
2019-08-06,1,32,16,8,3,2,2019
2019-08-20,1,34,17,8,3,2,2019
2019-08-27,1,35,18,8,3,2,2019
2019-08-17,5,33,17,8,3,2,2019
2019-08-23,4,34,17,8,3,2,2019
2019-08-28,2,35,18,8,3,2,2019
2019-08-30,4,35,18,8,3,2,2019
2019-08-11,6,32,16,8,3,2,2019
2019-08-02,4,31,16,8,3,2,2019
2019-08-10,5,32,16,8,3,2,2019
2019-08-13,1,33,17,8,3,2,2019
2019-08-25,6,34,17,8,3,2,2019
2019-08-24,5,34,17,8,3,2,2019
2019-08-05,0,32,16,8,3,2,2019
2019-08-21,2,34,17,8,3,2,2019
2019-08-16,4,33,17,8,3,2,2019
2019-08-04,6,31,16,8,3,2,2019
2019-08-08,3,32,16,8,3,2,2019
2019-08-03,5,31,16,8,3,2,2019
2019-08-31,5,35,18,8,3,2,2019
2019-09-10,1,37,19,9,3,2,2019
2019-09-19,3,38,19,9,3,2,2019
2019-09-11,2,37,19,9,3,2,2019
2019-09-17,1,38,19,9,3,2,2019
2019-09-21,5,38,19,9,3,2,2019
2019-09-08,6,36,18,9,3,2,2019
2019-09-18,2,38,19,9,3,2,2019
2019-09-30,0,40,20,9,3,2,2019
2019-09-28,5,39,20,9,3,2,2019
2019-09-27,4,39,20,9,3,2,2019
2019-09-09,0,37,19,9,3,2,2019
2019-09-03,1,36,18,9,3,2,2019
2019-09-15,6,37,19,9,3,2,2019
2019-09-05,3,36,18,9,3,2,2019
2019-09-29,6,39,20,9,3,2,2019
2019-09-06,4,36,18,9,3,2,2019
2019-09-02,0,36,18,9,3,2,2019
2019-09-01,6,35,18,9,3,2,2019
2019-09-13,4,37,19,9,3,2,2019
2019-09-20,4,38,19,9,3,2,2019
2019-09-22,6,38,19,9,3,2,2019
2019-09-26,3,39,20,9,3,2,2019
2019-09-24,1,39,20,9,3,2,2019
2019-09-16,0,38,19,9,3,2,2019
2019-09-14,5,37,19,9,3,2,2019
2019-09-07,5,36,18,9,3,2,2019
2019-09-23,0,39,20,9,3,2,2019
2019-09-04,2,36,18,9,3,2,2019
2019-09-25,2,39,20,9,3,2,2019
2019-09-12,3,37,19,9,3,2,2019
2019-10-03,3,40,20,10,4,2,2019
2019-10-13,6,41,21,10,4,2,2019
2019-10-26,5,43,22,10,4,2,2019
2019-10-30,2,44,22,10,4,2,2019
2019-10-08,1,41,21,10,4,2,2019
2019-10-06,6,40,20,10,4,2,2019
2019-10-22,1,43,22,10,4,2,2019
2019-10-27,6,43,22,10,4,2,2019
2019-10-23,2,43,22,10,4,2,2019
2019-10-02,2,40,20,10,4,2,2019
2019-10-20,6,42,21,10,4,2,2019
2019-10-01,1,40,20,10,4,2,2019
2019-10-12,5,41,21,10,4,2,2019
2019-10-10,3,41,21,10,4,2,2019
2019-10-31,3,44,22,10,4,2,2019
2019-10-16,2,42,21,10,4,2,2019
2019-10-15,1,42,21,10,4,2,2019
2019-10-11,4,41,21,10,4,2,2019
2019-10-09,2,41,21,10,4,2,2019
2019-10-19,5,42,21,10,4,2,2019
2019-10-07,0,41,21,10,4,2,2019
2019-10-14,0,42,21,10,4,2,2019
2019-10-04,4,40,20,10,4,2,2019
2019-10-17,3,42,21,10,4,2,2019
2019-10-25,4,43,22,10,4,2,2019
2019-10-24,3,43,22,10,4,2,2019
2019-10-18,4,42,21,10,4,2,2019
2019-10-21,0,43,22,10,4,2,2019
2019-10-29,1,44,22,10,4,2,2019
2019-10-05,5,40,20,10,4,2,2019
2019-10-28,0,44,22,10,4,2,2019
2019-11-20,2,47,24,11,4,2,2019
2019-11-30,5,48,24,11,4,2,2019
2019-11-27,2,48,24,11,4,2,2019
2019-11-19,1,47,24,11,4,2,2019
2019-11-13,2,46,23,11,4,2,2019
2019-11-25,0,48,24,11,4,2,2019
2019-11-01,4,44,22,11,4,2,2019
2019-11-18,0,47,24,11,4,2,2019
2019-11-26,1,48,24,11,4,2,2019
2019-11-17,6,46,23,11,4,2,2019
2019-11-09,5,45,23,11,4,2,2019
2019-11-08,4,45,23,11,4,2,2019
2019-11-24,6,47,24,11,4,2,2019
2019-11-11,0,46,23,11,4,2,2019
2019-11-15,4,46,23,11,4,2,2019
2019-11-14,3,46,23,11,4,2,2019
2019-11-22,4,47,24,11,4,2,2019
2019-11-06,2,45,23,11,4,2,2019
2019-11-23,5,47,24,11,4,2,2019
2019-11-03,6,44,22,11,4,2,2019
2019-11-02,5,44,22,11,4,2,2019
2019-11-16,5,46,23,11,4,2,2019
2019-11-12,1,46,23,11,4,2,2019
2019-11-29,4,48,24,11,4,2,2019
2019-11-04,0,45,23,11,4,2,2019
2019-11-05,1,45,23,11,4,2,2019
2019-11-07,3,45,23,11,4,2,2019
2019-11-28,3,48,24,11,4,2,2019
2019-11-10,6,45,23,11,4,2,2019
2019-11-21,3,47,24,11,4,2,2019
2019-12-30,0,1,1,12,4,2,2019
2019-12-23,0,52,26,12,4,2,2019
2019-12-09,0,50,25,12,4,2,2019
2019-12-17,1,51,26,12,4,2,2019
2019-12-21,5,51,26,12,4,2,2019
2019-12-15,6,50,25,12,4,2,2019
2019-12-05,3,49,25,12,4,2,2019
2019-12-13,4,50,25,12,4,2,2019
2019-12-10,1,50,25,12,4,2,2019
2019-12-25,2,52,26,12,4,2,2019
2019-12-22,6,51,26,12,4,2,2019
2019-12-07,5,49,25,12,4,2,2019
2019-12-20,4,51,26,12,4,2,2019
2019-12-14,5,50,25,12,4,2,2019
2019-12-16,0,51,26,12,4,2,2019
2019-12-24,1,52,26,12,4,2,2019
2019-12-01,6,48,24,12,4,2,2019
2019-12-31,1,1,1,12,4,2,2019
2019-12-29,6,52,26,12,4,2,2019
2019-12-19,3,51,26,12,4,2,2019
2019-12-04,2,49,25,12,4,2,2019
2019-12-08,6,49,25,12,4,2,2019
2019-12-02,0,49,25,12,4,2,2019
2019-12-28,5,52,26,12,4,2,2019
2019-12-26,3,52,26,12,4,2,2019
2019-12-12,3,50,25,12,4,2,2019
2019-12-27,4,52,26,12,4,2,2019
2019-12-11,2,50,25,12,4,2,2019
2019-12-06,4,49,25,12,4,2,2019
2019-12-03,1,49,25,12,4,2,2019
2019-12-18,2,51,26,12,4,2,2019
2020-01-01,2,1,1,1,1,1,2020
